,story,sent_index,token_index,token,bio,lemma,pos,MatchesNeg,hasPrefix,hasPrefix&Antonym,hasSuffix,hasSuffix&Antonym
85,wisteria01,3,32,casting,O,casting,VBG,False,False,False,False,False
86,wisteria01,3,33,an,O,an,DT,False,False,False,False,False
87,wisteria01,3,34,occasional,O,occasional,JJ,False,False,False,False,False
88,wisteria01,3,35,glance,O,glance,NN,False,False,False,False,False
89,wisteria01,3,36,at,O,at,IN,False,False,False,False,False
90,wisteria01,3,37,the,O,the,DT,False,False,False,False,False
91,wisteria01,3,38,message,O,message,NN,False,False,False,False,False
92,wisteria01,3,39,.,O,.,.,False,False,False,False,False
93,wisteria01,4,0,Suddenly,O,Suddenly,RB,False,False,False,False,False
94,wisteria01,4,1,he,O,he,PRP,False,False,False,False,False
95,wisteria01,4,2,turned,O,turned,VBD,False,False,False,False,False
96,wisteria01,4,3,upon,O,upon,IN,False,False,False,False,False
97,wisteria01,4,4,me,O,me,PRP,False,False,False,False,False
98,wisteria01,4,5,with,O,with,IN,False,False,False,False,False
99,wisteria01,4,6,a,O,a,DT,False,False,False,False,False
100,wisteria01,4,7,mischievous,O,mischievous,JJ,False,False,False,False,False
101,wisteria01,4,8,twinkle,O,twinkle,NN,False,False,False,False,False
102,wisteria01,4,9,in,O,in,IN,False,False,False,False,False
103,wisteria01,4,10,his,O,his,PRP$,False,False,False,False,False
104,wisteria01,4,11,eyes,O,eye,NNS,False,False,False,False,False
105,wisteria01,4,12,.,O,.,.,False,False,False,False,False
106,wisteria01,5,0,``,O,``,``,False,False,False,False,False
107,wisteria01,5,1,I,O,I,PRP,False,False,False,False,False
108,wisteria01,5,2,suppose,O,suppose,VBP,False,False,False,False,False
109,wisteria01,5,3,",",O,",",",",False,False,False,False,False
110,wisteria01,5,4,Watson,O,Watson,NNP,False,False,False,False,False
111,wisteria01,5,5,",",O,",",",",False,False,False,False,False
112,wisteria01,5,6,we,O,we,PRP,False,False,False,False,False
113,wisteria01,5,7,must,O,must,MD,False,False,False,False,False
114,wisteria01,5,8,look,O,look,VB,False,False,False,False,False
115,wisteria01,5,9,upon,O,upon,RB,False,False,False,False,False
116,wisteria01,5,10,you,O,you,PRP,False,False,False,False,False
117,wisteria01,5,11,as,O,a,IN,False,False,False,False,False
118,wisteria01,5,12,a,O,a,DT,False,False,False,False,False
119,wisteria01,5,13,man,O,man,NN,False,False,False,False,False
120,wisteria01,5,14,of,O,of,IN,False,False,False,False,False
121,wisteria01,5,15,letters,O,letter,NNS,False,False,False,False,False
122,wisteria01,5,16,",",O,",",",",False,False,False,False,False
123,wisteria01,5,17,'',O,'','',False,False,False,False,False
124,wisteria01,5,18,said,O,said,VBD,False,False,False,False,False
125,wisteria01,5,19,he,O,he,PRP,False,False,False,False,False
126,wisteria01,5,20,.,O,.,.,False,False,False,False,False
127,wisteria01,6,0,``,O,``,``,False,False,False,False,False
128,wisteria01,6,1,How,O,How,WRB,False,False,False,False,False
129,wisteria01,6,2,do,O,do,VB,False,False,False,False,False
130,wisteria01,6,3,you,O,you,PRP,False,False,False,False,False
131,wisteria01,6,4,define,O,define,VB,False,False,False,False,False
132,wisteria01,6,5,the,O,the,DT,False,False,False,False,False
133,wisteria01,6,6,word,O,word,NN,False,False,False,False,False
134,wisteria01,6,7,`,O,`,``,False,False,False,False,False
135,wisteria01,6,8,grotesque,O,grotesque,NN,False,False,False,False,False
136,wisteria01,6,9,',O,','',False,False,False,False,False
137,wisteria01,6,10,?,O,?,.,False,False,False,False,False
138,wisteria01,6,11,'',O,'','',False,False,False,False,False
139,wisteria01,7,0,``,O,``,``,False,False,False,False,False
140,wisteria01,7,1,Strange,O,Strange,NNP,False,False,False,False,False
141,wisteria01,7,2,--,O,--,:,False,False,False,False,False
142,wisteria01,7,3,remarkable,O,remarkable,JJ,False,False,False,False,False
143,wisteria01,7,4,",",O,",",",",False,False,False,False,False
144,wisteria01,7,5,'',O,'','',False,False,False,False,False
145,wisteria01,7,6,I,O,I,PRP,False,False,False,False,False
146,wisteria01,7,7,suggested,O,suggested,VBD,False,False,False,False,False
147,wisteria01,7,8,.,O,.,.,False,False,False,False,False
148,wisteria01,8,0,He,O,He,PRP,False,False,False,False,False
149,wisteria01,8,1,shook,O,shook,VBD,False,False,False,False,False
150,wisteria01,8,2,his,O,his,PRP$,False,False,False,False,False
151,wisteria01,8,3,head,O,head,NN,False,False,False,False,False
152,wisteria01,8,4,at,O,at,IN,False,False,False,False,False
153,wisteria01,8,5,my,O,my,PRP$,False,False,False,False,False
154,wisteria01,8,6,definition,O,definition,NN,False,False,False,False,False
155,wisteria01,8,7,.,O,.,.,False,False,False,False,False
156,wisteria01,9,0,``,O,``,``,False,False,False,False,False
157,wisteria01,9,1,There,O,There,EX,False,False,False,False,False
158,wisteria01,9,2,is,O,is,VBZ,False,False,False,False,False
159,wisteria01,9,3,surely,O,surely,RB,False,False,False,False,False
160,wisteria01,9,4,something,O,something,NN,False,False,False,False,False
161,wisteria01,9,5,more,O,more,JJR,False,False,False,False,False
162,wisteria01,9,6,than,O,than,IN,False,False,False,False,False
163,wisteria01,9,7,that,O,that,DT,False,False,False,False,False
164,wisteria01,9,8,",",O,",",",",False,False,False,False,False
165,wisteria01,9,9,'',O,'','',False,False,False,False,False
166,wisteria01,9,10,said,O,said,VBD,False,False,False,False,False
167,wisteria01,9,11,he,O,he,PRP,False,False,False,False,False
168,wisteria01,9,12,;,O,;,:,False,False,False,False,False
169,wisteria01,9,13,``,O,``,``,False,False,False,False,False
170,wisteria01,9,14,some,O,some,DT,False,False,False,False,False
171,wisteria01,9,15,underlying,O,underlying,JJ,False,False,False,False,False
172,wisteria01,9,16,suggestion,O,suggestion,NN,False,False,False,False,False
173,wisteria01,9,17,of,O,of,IN,False,False,False,False,False
174,wisteria01,9,18,the,O,the,DT,False,False,False,False,False
175,wisteria01,9,19,tragic,O,tragic,NN,False,False,False,False,False
176,wisteria01,9,20,and,O,and,CC,False,False,False,False,False
177,wisteria01,9,21,the,O,the,DT,False,False,False,False,False
178,wisteria01,9,22,terrible,O,terrible,JJ,False,False,False,False,False
179,wisteria01,9,23,.,O,.,.,False,False,False,False,False
180,wisteria01,10,0,If,O,If,IN,False,False,False,False,False
181,wisteria01,10,1,you,O,you,PRP,False,False,False,False,False
182,wisteria01,10,2,cast,O,cast,VBP,False,False,False,False,False
183,wisteria01,10,3,your,O,your,PRP$,False,False,False,False,False
184,wisteria01,10,4,mind,O,mind,NN,False,False,False,False,False
185,wisteria01,10,5,back,O,back,RB,False,False,False,False,False
186,wisteria01,10,6,to,O,to,TO,False,False,False,False,False
187,wisteria01,10,7,some,O,some,DT,False,False,False,False,False
188,wisteria01,10,8,of,O,of,IN,False,False,False,False,False
189,wisteria01,10,9,those,O,those,DT,False,False,False,False,False
190,wisteria01,10,10,narratives,O,narrative,NNS,False,False,False,False,False
191,wisteria01,10,11,with,O,with,IN,False,False,False,False,False
192,wisteria01,10,12,which,O,which,WDT,False,False,False,False,False
193,wisteria01,10,13,you,O,you,PRP,False,False,False,False,False
194,wisteria01,10,14,have,O,have,VBP,False,False,False,False,False
195,wisteria01,10,15,afflicted,O,afflicted,VBN,False,False,False,False,False
196,wisteria01,10,16,a,O,a,DT,False,False,False,False,False
197,wisteria01,10,17,long-suffering,O,long-suffering,JJ,False,False,False,False,False
198,wisteria01,10,18,public,O,public,NN,False,False,False,False,False
199,wisteria01,10,19,",",O,",",",",False,False,False,False,False
200,wisteria01,10,20,you,O,you,PRP,False,False,False,False,False
201,wisteria01,10,21,will,O,will,MD,False,False,False,False,False
202,wisteria01,10,22,recognize,O,recognize,VB,False,False,False,False,False
203,wisteria01,10,23,how,O,how,WRB,False,False,False,False,False
204,wisteria01,10,24,often,O,often,RB,False,False,False,False,False
205,wisteria01,10,25,the,O,the,DT,False,False,False,False,False
206,wisteria01,10,26,grotesque,O,grotesque,NN,False,False,False,False,False
207,wisteria01,10,27,has,O,ha,VBZ,False,False,False,False,False
208,wisteria01,10,28,deepened,O,deepened,VBN,False,False,False,False,False
209,wisteria01,10,29,into,O,into,IN,False,False,False,False,False
210,wisteria01,10,30,the,O,the,DT,False,False,False,False,False
211,wisteria01,10,31,criminal,O,criminal,JJ,False,False,False,False,False
212,wisteria01,10,32,.,O,.,.,False,False,False,False,False
213,wisteria01,11,0,Think,O,Think,NN,False,False,False,False,False
214,wisteria01,11,1,of,O,of,IN,False,False,False,False,False
215,wisteria01,11,2,that,O,that,DT,False,False,False,False,False
216,wisteria01,11,3,little,O,little,JJ,False,False,False,False,False
217,wisteria01,11,4,affair,O,affair,NN,False,False,False,False,False
218,wisteria01,11,5,of,O,of,IN,False,False,False,False,False
219,wisteria01,11,6,the,O,the,DT,False,False,False,False,False
220,wisteria01,11,7,red-headed,O,red-headed,JJ,False,False,False,False,False
221,wisteria01,11,8,men,O,men,NNS,False,False,False,False,False
222,wisteria01,11,9,.,O,.,.,False,False,False,False,False
223,wisteria01,12,0,That,O,That,DT,False,False,False,False,False
224,wisteria01,12,1,was,O,wa,VBD,False,False,False,False,False
225,wisteria01,12,2,grotesque,O,grotesque,JJ,False,False,False,False,False
226,wisteria01,12,3,enough,O,enough,RB,False,False,False,False,False
227,wisteria01,12,4,in,O,in,IN,False,False,False,False,False
228,wisteria01,12,5,the,O,the,DT,False,False,False,False,False
229,wisteria01,12,6,outset,O,outset,NN,False,False,False,False,False
230,wisteria01,12,7,",",O,",",",",False,False,False,False,False
231,wisteria01,12,8,and,O,and,CC,False,False,False,False,False
232,wisteria01,12,9,yet,O,yet,RB,False,False,False,False,False
233,wisteria01,12,10,it,O,it,PRP,False,False,False,False,False
234,wisteria01,12,11,ended,O,ended,VBD,False,False,False,False,False
235,wisteria01,12,12,in,O,in,IN,False,False,False,False,False
236,wisteria01,12,13,a,O,a,DT,False,False,False,False,False
237,wisteria01,12,14,desperate,O,desperate,JJ,False,False,False,False,False
238,wisteria01,12,15,attempt,O,attempt,NN,False,False,False,False,False
239,wisteria01,12,16,at,O,at,IN,False,False,False,False,False
240,wisteria01,12,17,robbery,O,robbery,NN,False,False,False,False,False
241,wisteria01,12,18,.,O,.,.,False,False,False,False,False
242,wisteria01,13,0,Or,O,Or,CC,False,False,False,False,False
243,wisteria01,13,1,",",O,",",",",False,False,False,False,False
244,wisteria01,13,2,again,O,again,RB,False,False,False,False,False
245,wisteria01,13,3,",",O,",",",",False,False,False,False,False
246,wisteria01,13,4,there,O,there,EX,False,False,False,False,False
247,wisteria01,13,5,was,O,wa,VBD,False,False,False,False,False
248,wisteria01,13,6,that,O,that,IN,False,False,False,False,False
249,wisteria01,13,7,most,O,most,JJS,False,False,False,False,False
250,wisteria01,13,8,grotesque,O,grotesque,JJ,False,False,False,False,False
251,wisteria01,13,9,affair,O,affair,NN,False,False,False,False,False
252,wisteria01,13,10,of,O,of,IN,False,False,False,False,False
253,wisteria01,13,11,the,O,the,DT,False,False,False,False,False
254,wisteria01,13,12,five,O,five,CD,False,False,False,False,False
255,wisteria01,13,13,orange,O,orange,NN,False,False,False,False,False
256,wisteria01,13,14,pips,O,pip,NNS,False,False,False,False,False
257,wisteria01,13,15,",",O,",",",",False,False,False,False,False
258,wisteria01,13,16,which,O,which,WDT,False,False,False,False,False
259,wisteria01,13,17,led,O,led,VBD,False,False,False,False,False
260,wisteria01,13,18,straight,O,straight,NN,False,False,False,False,False
261,wisteria01,13,19,to,O,to,TO,False,False,False,False,False
262,wisteria01,13,20,a,O,a,DT,False,False,False,False,False
263,wisteria01,13,21,murderous,O,murderous,JJ,False,False,False,False,False
264,wisteria01,13,22,conspiracy,O,conspiracy,NN,False,False,False,False,False
265,wisteria01,13,23,.,O,.,.,False,False,False,False,False
266,wisteria01,14,0,The,O,The,DT,False,False,False,False,False
267,wisteria01,14,1,word,O,word,NN,False,False,False,False,False
268,wisteria01,14,2,puts,O,put,VBZ,False,False,False,False,False
269,wisteria01,14,3,me,O,me,PRP,False,False,False,False,False
270,wisteria01,14,4,on,O,on,IN,False,False,False,False,False
271,wisteria01,14,5,the,O,the,DT,False,False,False,False,False
272,wisteria01,14,6,alert,O,alert,NN,False,False,False,False,False
273,wisteria01,14,7,.,O,.,.,False,False,False,False,False
274,wisteria01,14,8,'',O,'','',False,False,False,False,False
275,wisteria01,15,0,``,O,``,``,False,False,False,False,False
276,wisteria01,15,1,Have,O,Have,VBP,False,False,False,False,False
277,wisteria01,15,2,you,O,you,PRP,False,False,False,False,False
278,wisteria01,15,3,it,O,it,PRP,False,False,False,False,False
279,wisteria01,15,4,there,O,there,EX,False,False,False,False,False
280,wisteria01,15,5,?,O,?,.,False,False,False,False,False
281,wisteria01,15,6,'',O,'','',False,False,False,False,False
282,wisteria01,15,7,I,O,I,PRP,False,False,False,False,False
283,wisteria01,15,8,asked,O,asked,VBD,False,False,False,False,False
284,wisteria01,15,9,.,O,.,.,False,False,False,False,False
285,wisteria01,16,0,He,O,He,PRP,False,False,False,False,False
286,wisteria01,16,1,read,O,read,VBD,False,False,False,False,False
287,wisteria01,16,2,the,O,the,DT,False,False,False,False,False
288,wisteria01,16,3,telegram,O,telegram,JJ,False,False,False,False,False
289,wisteria01,16,4,aloud,O,aloud,NN,False,True,False,False,False
290,wisteria01,16,5,.,O,.,.,False,False,False,False,False
291,wisteria01,17,0,``,O,``,``,False,False,False,False,False
292,wisteria01,17,1,Have,O,Have,NNP,False,False,False,False,False
293,wisteria01,17,2,just,O,just,RB,False,False,False,False,False
294,wisteria01,17,3,had,O,had,VBD,False,False,False,False,False
295,wisteria01,17,4,most,O,most,RBS,False,False,False,False,False
296,wisteria01,17,5,incredible,O,incredible,JJ,False,True,True,False,False
297,wisteria01,17,6,and,O,and,CC,False,False,False,False,False
298,wisteria01,17,7,grotesque,O,grotesque,JJ,False,False,False,False,False
299,wisteria01,17,8,experience,O,experience,NN,False,False,False,False,False
300,wisteria01,17,9,.,O,.,.,False,False,False,False,False
301,wisteria01,18,0,May,O,May,NNP,False,False,False,False,False
302,wisteria01,18,1,I,O,I,PRP,False,False,False,False,False
303,wisteria01,18,2,consult,O,consult,VBP,False,False,False,False,False
304,wisteria01,18,3,you,O,you,PRP,False,False,False,False,False
305,wisteria01,18,4,?,O,?,.,False,False,False,False,False
306,wisteria01,19,0,``,O,``,``,False,False,False,False,False
307,wisteria01,19,1,Scott,O,Scott,NNP,False,False,False,False,False
308,wisteria01,19,2,Eccles,O,Eccles,NNP,False,False,False,False,False
309,wisteria01,19,3,",",O,",",",",False,False,False,False,False
310,wisteria01,20,0,``,O,``,``,False,False,False,False,False
311,wisteria01,20,1,Post,O,Post,NNP,False,False,False,False,False
312,wisteria01,20,2,Office,O,Office,NNP,False,False,False,False,False
313,wisteria01,20,3,",",O,",",",",False,False,False,False,False
314,wisteria01,20,4,Charing,O,Charing,NNP,False,False,False,False,False
315,wisteria01,20,5,Cross,O,Cross,NNP,False,False,False,False,False
316,wisteria01,20,6,.,O,.,.,False,False,False,False,False
317,wisteria01,20,7,'',O,'','',False,False,False,False,False
318,wisteria01,21,0,``,O,``,``,False,False,False,False,False
319,wisteria01,21,1,Man,O,Man,NNP,False,False,False,False,False
320,wisteria01,21,2,or,O,or,CC,False,False,False,False,False
321,wisteria01,21,3,woman,O,woman,NN,False,False,False,False,False
322,wisteria01,21,4,?,O,?,.,False,False,False,False,False
323,wisteria01,21,5,'',O,'','',False,False,False,False,False
324,wisteria01,21,6,I,O,I,PRP,False,False,False,False,False
325,wisteria01,21,7,asked,O,asked,VBD,False,False,False,False,False
326,wisteria01,21,8,.,O,.,.,False,False,False,False,False
327,wisteria01,22,0,``,O,``,``,False,False,False,False,False
328,wisteria01,22,1,Oh,O,Oh,UH,False,False,False,False,False
329,wisteria01,22,2,",",O,",",",",False,False,False,False,False
330,wisteria01,22,3,man,O,man,NN,False,False,False,False,False
331,wisteria01,22,4,",",O,",",",",False,False,False,False,False
332,wisteria01,22,5,of,O,of,IN,False,False,False,False,False
333,wisteria01,22,6,course,O,course,NN,False,False,False,False,False
334,wisteria01,22,7,.,O,.,.,False,False,False,False,False
335,wisteria01,23,0,No,B-NEG,No,DT,True,False,False,False,False
336,wisteria01,23,1,woman,O,woman,NN,False,False,False,False,False
337,wisteria01,23,2,would,O,would,MD,False,False,False,False,False
338,wisteria01,23,3,ever,O,ever,RB,False,False,False,False,False
339,wisteria01,23,4,send,O,send,VB,False,False,False,False,False
340,wisteria01,23,5,a,O,a,DT,False,False,False,False,False
341,wisteria01,23,6,reply-paid,O,reply-paid,JJ,False,False,False,False,False
342,wisteria01,23,7,telegram,O,telegram,NN,False,False,False,False,False
343,wisteria01,23,8,.,O,.,.,False,False,False,False,False
344,wisteria01,24,0,She,O,She,PRP,False,False,False,False,False
345,wisteria01,24,1,would,O,would,MD,False,False,False,False,False
346,wisteria01,24,2,have,O,have,VB,False,False,False,False,False
347,wisteria01,24,3,come,O,come,VBN,False,False,False,False,False
348,wisteria01,24,4,.,O,.,.,False,False,False,False,False
349,wisteria01,24,5,'',O,'','',False,False,False,False,False
350,wisteria01,25,0,``,O,``,``,False,False,False,False,False
351,wisteria01,25,1,Will,O,Will,NNP,False,False,False,False,False
352,wisteria01,25,2,you,O,you,PRP,False,False,False,False,False
353,wisteria01,25,3,see,O,see,VBP,False,False,False,False,False
354,wisteria01,25,4,him,O,him,PRP,False,False,False,False,False
355,wisteria01,25,5,?,O,?,.,False,False,False,False,False
356,wisteria01,25,6,'',O,'','',False,False,False,False,False
357,wisteria01,26,0,``,O,``,``,False,False,False,False,False
358,wisteria01,26,1,My,O,My,PRP$,False,False,False,False,False
359,wisteria01,26,2,dear,O,dear,JJ,False,False,False,False,False
360,wisteria01,26,3,Watson,O,Watson,NNP,False,False,False,False,False
361,wisteria01,26,4,",",O,",",",",False,False,False,False,False
362,wisteria01,26,5,you,O,you,PRP,False,False,False,False,False
363,wisteria01,26,6,know,O,know,VBP,False,False,False,False,False
364,wisteria01,26,7,how,O,how,WRB,False,False,False,False,False
365,wisteria01,26,8,bored,O,bored,JJ,False,False,False,False,False
366,wisteria01,26,9,I,O,I,PRP,False,False,False,False,False
367,wisteria01,26,10,have,O,have,VBP,False,False,False,False,False
368,wisteria01,26,11,been,O,been,VBN,False,False,False,False,False
369,wisteria01,26,12,since,O,since,IN,False,False,False,False,False
370,wisteria01,26,13,we,O,we,PRP,False,False,False,False,False
371,wisteria01,26,14,locked,O,locked,VBD,False,False,False,False,False
372,wisteria01,26,15,up,O,up,RP,False,False,False,False,False
373,wisteria01,26,16,Colonel,O,Colonel,NNP,False,False,False,False,False
374,wisteria01,26,17,Carruthers,O,Carruthers,NNPS,False,False,False,False,False
375,wisteria01,26,18,.,O,.,.,False,False,False,False,False
376,wisteria01,27,0,My,O,My,PRP$,False,False,False,False,False
377,wisteria01,27,1,mind,O,mind,NN,False,False,False,False,False
378,wisteria01,27,2,is,O,is,VBZ,False,False,False,False,False
379,wisteria01,27,3,like,O,like,IN,False,False,False,False,False
380,wisteria01,27,4,a,O,a,DT,False,False,False,False,False
381,wisteria01,27,5,racing,O,racing,NN,False,False,False,False,False
382,wisteria01,27,6,engine,O,engine,NN,False,False,False,False,False
383,wisteria01,27,7,",",O,",",",",False,False,False,False,False
384,wisteria01,27,8,tearing,O,tearing,VBG,False,False,False,False,False
385,wisteria01,27,9,itself,O,itself,PRP,False,False,False,False,False
386,wisteria01,27,10,to,O,to,TO,False,False,False,False,False
387,wisteria01,27,11,pieces,O,piece,NNS,False,False,False,False,False
388,wisteria01,27,12,because,O,because,IN,False,False,False,False,False
389,wisteria01,27,13,it,O,it,PRP,False,False,False,False,False
390,wisteria01,27,14,is,O,is,VBZ,False,False,False,False,False
391,wisteria01,27,15,not,B-NEG,not,RB,True,False,False,False,False
392,wisteria01,27,16,connected,O,connected,VBN,False,False,False,False,False
393,wisteria01,27,17,up,O,up,RP,False,False,False,False,False
394,wisteria01,27,18,with,O,with,IN,False,False,False,False,False
395,wisteria01,27,19,the,O,the,DT,False,False,False,False,False
396,wisteria01,27,20,work,O,work,NN,False,False,False,False,False
397,wisteria01,27,21,for,O,for,IN,False,False,False,False,False
398,wisteria01,27,22,which,O,which,WDT,False,False,False,False,False
399,wisteria01,27,23,it,O,it,PRP,False,False,False,False,False
400,wisteria01,27,24,was,O,wa,VBD,False,False,False,False,False
401,wisteria01,27,25,built,O,built,VBN,False,False,False,False,False
402,wisteria01,27,26,.,O,.,.,False,False,False,False,False
403,wisteria01,28,0,Life,O,Life,NNP,False,False,False,False,False
404,wisteria01,28,1,is,O,is,VBZ,False,False,False,False,False
405,wisteria01,28,2,commonplace,O,commonplace,NN,False,False,False,False,False
406,wisteria01,28,3,",",O,",",",",False,False,False,False,False
407,wisteria01,28,4,the,O,the,DT,False,False,False,False,False
408,wisteria01,28,5,papers,O,paper,NNS,False,False,False,False,False
409,wisteria01,28,6,are,O,are,VBP,False,False,False,False,False
410,wisteria01,28,7,sterile,O,sterile,JJ,False,False,False,False,False
411,wisteria01,28,8,;,O,;,:,False,False,False,False,False
412,wisteria01,28,9,audacity,O,audacity,NN,False,False,False,False,False
413,wisteria01,28,10,and,O,and,CC,False,False,False,False,False
414,wisteria01,28,11,romance,O,romance,NN,False,False,False,False,False
415,wisteria01,28,12,seem,O,seem,VBP,False,False,False,False,False
416,wisteria01,28,13,to,O,to,TO,False,False,False,False,False
417,wisteria01,28,14,have,O,have,VB,False,False,False,False,False
418,wisteria01,28,15,passed,O,passed,VBN,False,False,False,False,False
419,wisteria01,28,16,forever,O,forever,RB,False,False,False,False,False
420,wisteria01,28,17,from,O,from,IN,False,False,False,False,False
421,wisteria01,28,18,the,O,the,DT,False,False,False,False,False
422,wisteria01,28,19,criminal,O,criminal,JJ,False,False,False,False,False
423,wisteria01,28,20,world,O,world,NN,False,False,False,False,False
424,wisteria01,28,21,.,O,.,.,False,False,False,False,False
425,wisteria01,29,0,Can,O,Can,MD,False,False,False,False,False
426,wisteria01,29,1,you,O,you,PRP,False,False,False,False,False
427,wisteria01,29,2,ask,O,ask,VB,False,False,False,False,False
